DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-10-31,Cut Fruits,Rockmelon Half,86.0,86.0,0.0
2016-10-31,Cut Veggies,Savoy half,1.0,3.0,3.0
2016-10-31,Eggs,Supiri Keeri Samba5kg,8.0,132.0,32.0
2016-10-31,Flowers,Bunch Roses,2.0,18.0,2.0
2016-10-31,Fruits,Kensington Pride Mangoes large,41.0,123.0,123.0
2016-10-31,Grapes,Crimson Grapes,79.77199999999998,398.06228,398.06228
2016-10-31,Groceries-Dry Goods, Hibiscus Tea,1.0,3.5,1.67
2016-10-31,Herbs,Rosemary,1.0,3.5,3.5
2016-10-31,Kalamata olives,Virgin olive oil 1Lt,1.0,12.99,1.99
2016-10-31,Lettuces,Lettuce Rocket,1.9220000000000002,38.440000000000005,38.440000000000005
2016-10-31,Melons,Gold Honeydew,2.0,8.0,3.0
2016-10-31,Multi buy,Baby Artichoke 3 for $1,3.0,3.0,3.0
2016-10-31,Mushrooms,Mushroom flat ,15.584,155.68416,155.68416
2016-10-31,Nuts,Clove 50g Kandyan,1.0,3.36363636363636,0.8636363636363598
2016-10-31,Olympian Products,Dry East 125g,1.0,2.19,0.69
2016-10-31,Onions,Salad Onion,1.0,1.5,1.5
2016-10-31,Other Fruits,Quinces,1.08,5.3892000000000015,5.281200000000001
2016-10-31,Other Vegies,Celery Pieces,2.732,13.386800000000003,7.922800000000001
2016-10-31,Pastas,Bucatini No.6,2.0,2.4,2.4
2016-10-31,Pears,Red Nashi Pear,0.73,1.8177,-0.007299999999999862
2016-10-31,Potatoes,Taro,8.804000000000002,87.95196000000001,43.93196000000001
2016-10-31,Pumpkins,Wijaya fish curry Powder 70g,3.0,5.97,2.67
2016-10-31,Root Vegies,Turmeric,0.22,5.5,-4.4
2016-10-31,Sri Lankan Groceries, Dried Sprats 200g lakmalu,1.0,5.99,1.4900000000000002
2016-10-31,Stonefruits,peaches white,0.7040000000000001,2.4640000000000004,2.4640000000000004
2016-10-31,Tomatoes,tomato sweet cherry vine,4.0,10.0,10.0
2016-10-31,Tropical Fruits,Pineapple,2.0,9.0,9.0
2016-10-31,Veggies,Jerusalem Artichokes,0.5680000000000001,2.8343200000000004,2.8343200000000004
2016-10-31,capsicum,Capsicum yellow,10.658000000000001,69.27699999999999,69.27699999999999
2016-10-31,carrots,Carrots ,103.42999999999999,175.831,175.831
2016-10-31,coconut Products,Chick Peas 1kg Pattu,3.0,11.97,5.37
2016-10-31,markdown bag,Mark down Bag ***,409.0,409.0,409.0
2016-10-31,trutaste,Sulthana 500g,1.0,4.99,1.3200000000000005
2016-11-30,Apples,Firm Gold Apple 2kg,1.0,1.99,1.99
2016-11-30,Asian Vegies,Bean Sprouts ,4.0,8.0,3.0
2016-11-30,Avocadoes,Avocado Hass Large,21.0,52.5,21.0
2016-11-30,Bananas,Banana Cavendish,1776.308000000001,3534.8529200000007,-17.76308000000003
2016-11-30,Berries,Berries Blueberry,24.0,84.0,84.0
2016-11-30,Bunch Vegies,Chickory,6.0,16.8,4.799999999999999
2016-11-30,Cabbages,Cabbage red,2.0,9.0,9.0
2016-11-30,Chillies,Thai Red Chilli,0.9740000000000004,9.730260000000003,9.730260000000003
2016-11-30,Citrus,Afourer Mandarin,8.864,22.16,13.296000000000003
2016-11-30,Cucumbers,Cucumber Lebanese,166.68199999999993,831.7431800000003,831.7431800000003
2016-11-30,Cut Veggies,Savoy Cabbage Quter,4.0,5.0,5.0
2016-11-30,Eggs,egg free range 600g,65.0,272.9999999999997,65.0
2016-11-30,Fruits,Kensington Pride Mangoes large,396.0,1188.0,1188.0
2016-11-30,Grapes,Grapes black,95.44000000000003,380.8056,380.8056
2016-11-30,Groceries-Dry Goods,Coconut Treacle 750ml der,1.0,7.5,1.7999999999999998
2016-11-30,Herbs,Rosemary,1.0,3.5,3.5
2016-11-30,Kalamata olives,Barley Rusk,2.0,14.0,3.0
2016-11-30,Lettuces,Lettuce Rocket,1.8940000000000001,37.879999999999995,37.879999999999995
2016-11-30,Melons,Honeydew,22.0,105.59999999999997,105.59999999999997
2016-11-30,Multi buy,choy sum 2 for $ 1.99,1.0,1.99,-0.010000000000000007
2016-11-30,Mushrooms,Mushroom flat ,17.825999999999997,178.08174,178.08174
2016-11-30,Nuts,Cannellini Beans 1Kg,4.0,21.96,5.16
2016-11-30,Olympian Products,Trahanas Sour 500g,2.0,7.98,2.380000000000001
2016-11-30,Onions,Onion white,6.798000000000001,33.92202000000001,33.92202000000001
2016-11-30,Other Fruits,Kiwi fruit Green,106.92600000000002,588.0929999999998,588.0929999999998
2016-11-30,Other Vegies,1kg olive pack,1.098,10.979999999999999,3.3049799999999996
2016-11-30,Pastas,Bucatini No.6,2.0,2.4,2.4
2016-11-30,Pears,D'anjou Pear,3.0540000000000003,10.689000000000002,10.689000000000002
2016-11-30,Potatoes,Washed Potatoes 2.5kg,9.0,45.0,22.5
2016-11-30,Pumpkins,Wijaya fish curry Powder 70g,1.0,1.99,0.8899999999999999
2016-11-30,Root Vegies,Turmeric,0.21199999999999997,5.3,-4.239999999999999
2016-11-30,Sri Lankan Groceries, Mango Chutney 450g der,1.0,4.99,1.5900000000000003
2016-11-30,Stonefruits,Plums Red,8.586,25.758,25.758
2016-11-30,Tomatoes,tomato sweet cherry vine,2.0,5.0,5.0
