DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-07-31,Cut Fruits,Rockmelon Half,1.0,1.0,0.0
2016-07-31,Cut Veggies,wombok half,82.0,205.0,41.0
2016-07-31,Eggs,egg free range 600g,70.0,293.9999999999997,70.0
2016-07-31,Flowers,Bunch Roses,5.0,45.0,5.0
2016-07-31,Grapes,grapes Calmeria,28.374,56.46426000000002,-42.84474
2016-07-31,Groceries-Dry Goods,White Sugar 1kg,1.0,2.29,0.69
2016-07-31,Herbs,Mint Vietnamese,1.0,3.5,3.5
2016-07-31,Kalamata olives,Virgin olive oil 1Lt,1.0,12.99,1.99
2016-07-31,Lettuces,Lettuce Salad mix loose,15.165999999999999,181.99200000000002,0.0
2016-07-31,Melons,Piel de Sapo Melon,8.0,23.92,-0.0799999999999983
2016-07-31,Multi buy,Black pepper Powder100g pattu,10.0,29.900000000000006,12.900000000000007
2016-07-31,Mushrooms,Mushroom Brown,2.606,26.03394,26.03394
2016-07-31,Nuts,Coconut Vinigar 750ml,1.0,3.2,0.9400000000000004
2016-07-31,Olympian Products,Cinnamon 15g,2.0,2.6,1.0
2016-07-31,Onions,Garlic 500g,2.0,4.98,0.9800000000000004
2016-07-31,Other Fruits,Persimmons,53.886,48.497400000000034,48.497400000000034
2016-07-31,Other Vegies,Zucchini Lebanese,0.498,1.7380200000000001,1.7380200000000001
2016-07-31,Pastas,Peeled Plum Tomatoes,44.0,43.56000000000002,13.640000000000002
2016-07-31,Pears,Pear Nashi,31.597999999999995,94.47801999999999,-31.91398
2016-07-31,Potatoes,potato Red 4kg,3.0,21.0,12.0
2016-07-31,Pumpkins,Pumpkin Grey,30.128,59.95472,59.95472
2016-07-31,Root Vegies,Turmeric,0.686,17.150000000000002,-13.72
2016-07-31,Sri Lankan Groceries,Royal Hot & Spicy Cashew Nuts 100g,2.0,5.09090909090908,0.23090909090907985
2016-07-31,Tomatoes,Mix Medley Tomatoes,20.0,40.0,0.0
2016-07-31,Tropical Fruits,Passionfruit,3.0,2.9699999999999998,2.9699999999999998
2016-07-31,Veggies,Galangal,0.166,2.988,2.158
2016-07-31,capsicum,Capsicum yellow,2.1900000000000004,14.235000000000001,14.235000000000001
2016-07-31,carrots,Carrots 1kg,187.0,278.63000000000056,129.02999999999972
2016-07-31,coconut Products,Brinjal Pickle 400g,1.0,5.2,1.25
